[2026-06-19 14:44:54] CVM v2 0->299 vm=experiments/vm_max_multires/checkpoint_299.pkl (online VM299=74.05)
load task config: configs/task/train_cvm_max_multires_v2.yaml
seed: 123
load data config: configs/data/train_cvm_max_multires_cloud.yaml
load transform config: configs/transform/cvm_multires.yaml
load model config: configs/model/cvm_max.yaml
use vm_ckpt: experiments/vm_max_multires/checkpoint_299.pkl
load system config: configs/system/cvm_max_multires_v2.yaml
[Epoch 197] train_patch_loss=1.250278 | val_patch_loss=1.138239 | val_CD=0.000150 | best_CD=0.000148
[Epoch 198] train_patch_loss=1.252788 | val_patch_loss=1.145598 | val_CD=n/a | best_CD=0.000148
[Epoch 199] train_patch_loss=1.255513 | val_patch_loss=1.195986 | val_CD=0.000157 | best_CD=0.000148
[Epoch 200] train_patch_loss=1.248034 | val_patch_loss=1.208073 | val_CD=n/a | best_CD=0.000148
[Epoch 201] train_patch_loss=1.240227 | val_patch_loss=1.279040 | val_CD=0.000151 | best_CD=0.000148
[Epoch 202] train_patch_loss=1.257123 | val_patch_loss=1.176047 | val_CD=n/a | best_CD=0.000148
[Epoch 203] train_patch_loss=1.259828 | val_patch_loss=1.121528 | val_CD=0.000153 | best_CD=0.000148
[Epoch 204] train_patch_loss=1.252650 | val_patch_loss=1.222764 | val_CD=n/a | best_CD=0.000148
[Epoch 205] train_patch_loss=1.247530 | val_patch_loss=1.185475 | val_CD=0.000152 | best_CD=0.000148
[Epoch 206] train_patch_loss=1.246193 | val_patch_loss=1.135108 | val_CD=n/a | best_CD=0.000148
[Epoch 207] train_patch_loss=1.254524 | val_patch_loss=1.193056 | val_CD=0.000158 | best_CD=0.000148
[Epoch 208] train_patch_loss=1.255727 | val_patch_loss=1.208020 | val_CD=n/a | best_CD=0.000148
[Epoch 209] train_patch_loss=1.260844 | val_patch_loss=1.266005 | val_CD=0.000155 | best_CD=0.000148
[Epoch 210] train_patch_loss=1.250630 | val_patch_loss=1.173779 | val_CD=n/a | best_CD=0.000148
[Epoch 211] train_patch_loss=1.255407 | val_patch_loss=1.140803 | val_CD=0.000156 | best_CD=0.000148
[Epoch 212] train_patch_loss=1.247755 | val_patch_loss=1.261307 | val_CD=n/a | best_CD=0.000148
[Epoch 213] train_patch_loss=1.246399 | val_patch_loss=1.285852 | val_CD=0.000159 | best_CD=0.000148
[Epoch 214] train_patch_loss=1.249939 | val_patch_loss=1.193374 | val_CD=n/a | best_CD=0.000148
[Epoch 215] train_patch_loss=1.244632 | val_patch_loss=1.289063 | val_CD=0.000155 | best_CD=0.000148
[Epoch 216] train_patch_loss=1.246820 | val_patch_loss=1.162472 | val_CD=n/a | best_CD=0.000148
[Epoch 217] train_patch_loss=1.250449 | val_patch_loss=1.145078 | val_CD=0.000161 | best_CD=0.000148
[Epoch 218] train_patch_loss=1.243759 | val_patch_loss=1.199834 | val_CD=n/a | best_CD=0.000148
[Epoch 219] train_patch_loss=1.260169 | val_patch_loss=1.160657 | val_CD=0.000150 | best_CD=0.000148
[Epoch 220] train_patch_loss=1.250575 | val_patch_loss=1.122586 | val_CD=n/a | best_CD=0.000148
[Epoch 221] train_patch_loss=1.242412 | val_patch_loss=1.299702 | val_CD=0.000159 | best_CD=0.000148
[Epoch 222] train_patch_loss=1.250852 | val_patch_loss=1.292098 | val_CD=n/a | best_CD=0.000148
[Epoch 223] train_patch_loss=1.251397 | val_patch_loss=1.215516 | val_CD=0.000153 | best_CD=0.000148
[Epoch 224] train_patch_loss=1.244554 | val_patch_loss=1.113960 | val_CD=n/a | best_CD=0.000148
[Epoch 225] train_patch_loss=1.251246 | val_patch_loss=1.170154 | val_CD=0.000147 | best_CD=0.000147
[Epoch 226] train_patch_loss=1.248989 | val_patch_loss=1.248988 | val_CD=n/a | best_CD=0.000147
[Epoch 227] train_patch_loss=1.247074 | val_patch_loss=1.201757 | val_CD=0.000159 | best_CD=0.000147
[Epoch 228] train_patch_loss=1.243032 | val_patch_loss=1.264638 | val_CD=n/a | best_CD=0.000147
[Epoch 229] train_patch_loss=1.254529 | val_patch_loss=1.223487 | val_CD=0.000155 | best_CD=0.000147
[Epoch 230] train_patch_loss=1.256931 | val_patch_loss=1.225923 | val_CD=n/a | best_CD=0.000147
[Epoch 231] train_patch_loss=1.251033 | val_patch_loss=1.323215 | val_CD=0.000155 | best_CD=0.000147
[Epoch 232] train_patch_loss=1.254228 | val_patch_loss=1.208482 | val_CD=n/a | best_CD=0.000147
[Epoch 233] train_patch_loss=1.248283 | val_patch_loss=1.181419 | val_CD=0.000150 | best_CD=0.000147
